# time E1 E2 E3 W1 W2 W3 W4 W5 W6
110 0.00011053 0.00057604 0.00046551 -0.0019317 -0.0018801 -0.0017416 -0.0011659 -0.00077915 0.0005912
111 -0.00042764 -0.00064869 -0.00022106 -0.00135 -0.0016374 -0.001831 -0.0014561 -0.0011404 0.00015734
112 -0.00056868 -0.00084945 -0.00028078 -0.0014898 -0.0017442 -0.001938 -0.001542 -0.0012149 0.00013264
113 -0.00052894 -0.00073144 -0.00020249 -0.0016707 -0.0018444 -0.001849 -0.0013724 -0.0010242 0.00021664
114 -0.0003249 -0.00047009 -0.00014519 -0.0020809 -0.0020913 -0.0019092 -0.0012634 -0.0008519 0.00050221
115 -0.00069975 -0.0011036 -0.00040387 -0.0014107 -0.0016303 -0.0016092 -0.001283 -0.0010571 -8.8168e-05
116 -0.0014264 -0.0022472 -0.00082079 -0.00051622 -0.0010007 -0.0014081 -0.0015648 -0.0014968 -0.00075727
117 -0.001432 -0.0023471 -0.00091512 -0.00059382 -0.0010365 -0.0014247 -0.001578 -0.0015135 -0.00077771
118 -0.0012621 -0.0021125 -0.0008504 -0.00089038 -0.0011897 -0.0014304 -0.0014767 -0.0013835 -0.00063405
119 -0.0011337 -0.0018406 -0.00070689 -0.0011221 -0.0013155 -0.0014155 -0.0013697 -0.0012544 -0.0005204
120 -0.0010408 -0.0016511 -0.00061025 -0.0012952 -0.0014057 -0.0013978 -0.001284 -0.0011537 -0.0004402
121 -0.00097224 -0.00151 -0.00053773 -0.0014314 -0.0014757 -0.0013819 -0.0012151 -0.0010738 -0.00038151
122 -0.00092137 -0.0014034 -0.00048204 -0.0015404 -0.0015318 -0.0013687 -0.001159 -0.0010094 -0.00033703
123 -0.00088498 -0.0013239 -0.00043887 -0.0016275 -0.0015777 -0.0013588 -0.0011141 -0.00095793 -0.00030373
124 -0.00086332 -0.001268 -0.00040468 -0.0016937 -0.0016137 -0.0013516 -0.0010793 -0.00091807 -0.00028092
125 -0.00085125 -0.0012298 -0.0003786 -0.0017438 -0.0016426 -0.0013473 -0.0010525 -0.00088715 -0.00026542
126 -0.00084927 -0.0012082 -0.00035894 -0.001779 -0.0016654 -0.001346 -0.0010336 -0.00086492 -0.00025708
127 -0.00085372 -0.0012012 -0.00034747 -0.001802 -0.0016827 -0.0013466 -0.0010203 -0.00084967 -0.00025471
128 -0.00086561 -0.0012096 -0.00034396 -0.0018133 -0.0016945 -0.0013488 -0.0010126 -0.00084108 -0.00025861
129 -0.00088572 -0.0012331 -0.00034738 -0.0018124 -0.0017008 -0.0013535 -0.0010114 -0.00083987 -0.00026887
130 -0.00091177 -0.0012709 -0.00035915 -0.0018001 -0.0016999 -0.0013582 -0.0010147 -0.00084428 -0.00028453
131 -0.00094185 -0.0013202 -0.00037836 -0.0017755 -0.0016898 -0.0013607 -0.0010206 -0.00085287 -0.0003043
132 -0.0010096 -0.0014288 -0.00041928 -0.0017312 -0.0016946 -0.0013984 -0.0010685 -0.00090268 -0.00034634
133 -0.0010876 -0.0015425 -0.0004549 -0.0016775 -0.0016997 -0.0014422 -0.0011245 -0.00096006 -0.00039365
134 -0.0011655 -0.0016548 -0.00048931 -0.0016173 -0.0016976 -0.0014805 -0.0011764 -0.001014 -0.00044151
135 -0.0012468 -0.0017765 -0.00052973 -0.0015499 -0.0016907 -0.0015183 -0.0012306 -0.0010711 -0.00049219
136 -0.0013311 -0.0019046 -0.00057351 -0.0014764 -0.0016797 -0.0015555 -0.0012863 -0.0011303 -0.00054532
137 -0.0014175 -0.0020342 -0.00061666 -0.0013973 -0.0016651 -0.001591 -0.0013412 -0.0011891 -0.00060015
138 -0.0015079 -0.0021742 -0.0006663 -0.0013117 -0.001647 -0.0016276 -0.0014002 -0.0012526 -0.00065813
139 -0.0016004 -0.0023188 -0.0007184 -0.001221 -0.0016255 -0.0016634 -0.0014601 -0.0013175 -0.00071795
140 -0.0016951 -0.0024643 -0.00076924 -0.0011253 -0.0016012 -0.0016983 -0.0015198 -0.0013823 -0.00077938
141 -0.0017935 -0.0026196 -0.00082617 -0.0010243 -0.0015739 -0.0017344 -0.0015832 -0.0014516 -0.00084367
142 -0.0018932 -0.0027746 -0.00088134 -0.00091934 -0.0015444 -0.0017695 -0.0016461 -0.0015204 -0.00090916
143 -0.0019965 -0.0029391 -0.00094262 -0.00080949 -0.0015123 -0.0018059 -0.0017128 -0.0015936 -0.00097732
144 -0.0021007 -0.0031025 -0.0010018 -0.00069659 -0.0014782 -0.0018413 -0.0017787 -0.001666 -0.0010463
145 -0.0022083 -0.0032753 -0.001067 -0.00057914 -0.0014418 -0.0018781 -0.0018483 -0.0017428 -0.0011179
146 -0.002317 -0.0034506 -0.0011335 -0.00045849 -0.0014028 -0.0019139 -0.0019181 -0.00182 -0.0011905
147 -0.0024272 -0.0036251 -0.0011979 -0.00033511 -0.0013631 -0.00195 -0.001988 -0.0018973 -0.0012642
148 -0.0025405 -0.0038086 -0.0012681 -0.00020766 -0.001321 -0.0019871 -0.0020614 -0.0019786 -0.0013403
149 -0.0026536 -0.0039887 -0.0013351 -7.8121e-05 -0.0012778 -0.0020232 -0.0021332 -0.0020583 -0.0014165
150 -0.00047314 -0.002028 -0.0015548 0.00018017 -0.00066805 -0.0018484 -0.0011962 -0.00086949 -0.0001224
151 -0.00047314 -0.002029 -0.0015559 0.00017996 -0.00066962 -0.0018496 -0.0011965 -0.00086951 -0.00012236
152 -0.0004732 -0.00203 -0.0015568 0.00017975 -0.00067069 -0.0018505 -0.0011967 -0.00086966 -0.00012225
153 -0.00047325 -0.0020308 -0.0015576 0.00017955 -0.00067151 -0.0018513 -0.001197 -0.0008698 -0.00012221
154 -0.00047331 -0.0020315 -0.0015582 0.00017943 -0.00067207 -0.0018518 -0.0011972 -0.00086992 -0.00012214
155 -0.00047341 -0.0020326 -0.0015592 0.00017752 -0.00067732 -0.0018547 -0.0011978 -0.0008701 -0.00012195
